               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04544,             0.06535,            0.016385,             0.67282,             0.60459,             0.68231,             0.44858,             0.04135,            0.037827,            0.010647,              0.0937,              0.0007,              0.0007
                   1,            0.043859,            0.061775,            0.017284,             0.74374,              0.6188,             0.71959,             0.48221,            0.040515,            0.036818,           0.0093684,            0.086005,            0.001005,            0.001005
                   2,            0.044725,            0.070742,            0.016391,             0.75407,             0.64929,             0.73781,             0.48604,            0.040005,            0.036174,           0.0086427,            0.077782,            0.000782,            0.000782
